Genoma,Total_kmers,Real_HH,Phi,Threshold,Algoritmo,Precision,Recall,F1_Score,TP,FP,FN,TN,Memory_MB,Mean_Abs_Error,Mean_Rel_Error
GCA_033106465.1_PDT001960943.1_genomic.fna,3230527,1,4.4e-06,7,TowerSketch,3.09554e-07,1,6.19107e-07,1,3230456,0,70,67,24,0.774194
GCA_037052065.1_ASM3705206v1_genomic.fna,3180895,2,4.4e-06,7,CountSketch,6.28754e-07,1,1.25751e-06,2,3180893,0,0,57.2205,44.5,1.76212
GCA_037052065.1_ASM3705206v1_genomic.fna,3180895,2,4.4e-06,7,TowerSketch,6.2877e-07,1,1.25754e-06,2,3180810,0,83,67,23,0.930303
GCA_037203645.1_ASM3720364v1_genomic.fna,3195368,282,4.4e-06,7,CountSketch,8.82527e-05,1,0.00017649,282,3195086,0,0,57.2205,33.0248,3.12176
GCA_037203645.1_ASM3720364v1_genomic.fna,3195368,282,4.4e-06,7,TowerSketch,8.82552e-05,1,0.000176495,282,3194996,0,90,67,12.9504,1.22367
GCA_043678295.1_ASM4367829v1_genomic.fna,3163798,169,4.4e-06,7,CountSketch,5.34168e-05,1,0.000106828,169,3163629,0,0,57.2205,36.4556,3.23688
GCA_043678295.1_ASM4367829v1_genomic.fna,3163798,169,4.4e-06,7,TowerSketch,5.34178e-05,1,0.00010683,169,3163570,0,59,67,16.1893,1.47207
GCA_043678335.1_ASM4367833v1_genomic.fna,3163661,166,4.4e-06,7,CountSketch,5.24709e-05,1,0.000104936,166,3163495,0,0,57.2205,36.5663,3.26079
GCA_043678335.1_ASM4367833v1_genomic.fna,3163661,166,4.4e-06,7,TowerSketch,5.24718e-05,1,0.000104938,166,3163441,0,54,67,16.3494,1.49313
GCA_043678355.1_ASM4367835v1_genomic.fna,3163724,169,4.4e-06,7,CountSketch,5.34181e-05,1,0.00010683,169,3163555,0,0,57.2205,36.3905,3.23212
GCA_043678355.1_ASM4367835v1_genomic.fna,3163724,169,4.4e-06,7,TowerSketch,5.3419e-05,1,0.000106832,169,3163501,0,54,67,16.1243,1.46728
GCA_043678375.1_ASM4367837v1_genomic.fna,3163617,169,4.4e-06,7,CountSketch,5.34199e-05,1,0.000106834,169,3163448,0,0,57.2205,36.426,3.23469
GCA_043678375.1_ASM4367837v1_genomic.fna,3163617,169,4.4e-06,7,TowerSketch,5.34208e-05,1,0.000106836,169,3163392,0,56,67,16.1361,1.46823
GCA_043950085.1_ASM4395008v1_genomic.fna,2754967,154,4.4e-06,6,CountSketch,5.5899e-05,1,0.000111792,154,2754813,0,0,57.2205,27.7208,2.98145
GCA_043950085.1_ASM4395008v1_genomic.fna,2754967,154,4.4e-06,6,TowerSketch,5.59029e-05,1,0.0001118,154,2754621,0,192,67,10.2403,1.09947
GCA_943323015.2_HRS-ES2-bin-440_genomic.fna,814132,814132,4.4e-06,1,CountSketch,1,1,1,814132,0,0,0,57.2205,5.82517,5.82187
GCA_943323015.2_HRS-ES2-bin-440_genomic.fna,814132,814132,4.4e-06,1,TowerSketch,1,1,1,814132,0,0,0,67,1.96788,1.96683
GCA_943323415.2_HRS-ES4-bin-10_genomic.fna,829342,829342,4.4e-06,1,CountSketch,1,1,1,829342,0,0,0,57.2205,5.92725,5.91251
GCA_943323415.2_HRS-ES4-bin-10_genomic.fna,829342,829342,4.4e-06,1,TowerSketch,1,1,1,829342,0,0,0,67,2.00735,2.0029
GCA_943323865.2_HRS-ES8-bin-118_genomic.fna,845648,845648,4.4e-06,1,CountSketch,1,1,1,845648,0,0,0,57.2205,6.03896,6.03556
GCA_943323865.2_HRS-ES8-bin-118_genomic.fna,845648,845648,4.4e-06,1,TowerSketch,1,1,1,845648,0,0,0,67,2.05971,2.05864
GCA_943325355.2_HRSG-E10-bin-12_genomic.fna,1232711,1215,4.4e-06,2,CountSketch,0.000985632,1,0.00196932,1215,1231496,0,0,57.2205,9.39671,4.64588
GCA_943325355.2_HRSG-E10-bin-12_genomic.fna,1232711,1215,4.4e-06,2,TowerSketch,0.000986467,1,0.00197099,1215,1230453,0,1043,67,2.5177,1.23875
GCA_943326675.2_HRSG-E12-bin-108_genomic.fna,1362113,324,4.4e-06,2,CountSketch,0.000237866,1,0.000475618,324,1361789,0,0,57.2205,10.8673,4.68457
GCA_943326675.2_HRSG-E12-bin-108_genomic.fna,1362113,324,4.4e-06,2,TowerSketch,0.00023795,1,0.000475788,324,1361304,0,485,67,3.2963,1.39718
GCA_943327095.2_HRSG-E11-bin-71_genomic.fna,1350041,1406,4.4e-06,2,CountSketch,0.00104145,1,0.00208073,1406,1348635,0,0,57.2205,10.2511,4.98743
GCA_943327095.2_HRSG-E11-bin-71_genomic.fna,1350041,1406,4.4e-06,2,TowerSketch,0.0010419,1,0.00208163,1406,1348050,0,585,67,2.84495,1.3865
GCA_943327695.2_HRS-HS3-bin-186_genomic.fna,1478814,10,4.4e-06,3,CountSketch,6.76218e-06,1,1.35243e-05,10,1478804,0,0,57.2205,13.9,4.10952
GCA_943327695.2_HRS-HS3-bin-186_genomic.fna,1478814,10,4.4e-06,3,TowerSketch,6.77342e-06,1,1.35467e-05,10,1476349,0,2455,67,3.6,0.911905
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,768002,768002,4.4e-06,1,CountSketch,1,1,1,768002,0,0,0,57.2205,5.51512,5.51402
GCA_943329525.2_HRS-HS6-bin-101_genomic.fna,768002,768002,4.4e-06,1,TowerSketch,1,1,1,768002,0,0,0,67,1.83267,1.83234
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,1822180,66,4.4e-06,4,CountSketch,3.62204e-05,1,7.24381e-05,66,1822114,0,0,57.2205,35.9848,2.51822
GCA_943329805.2_HRSG-H13-bin-193_genomic.fna,1822180,66,4.4e-06,4,TowerSketch,3.6259e-05,1,7.25153e-05,66,1820173,0,1941,67,24.4091,1.63813
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,1265059,343,4.4e-06,2,CountSketch,0.000271134,1,0.00054212,343,1264716,0,0,57.2205,10.484,4.44927
GCA_943331045.1_HRSG-E2-bin-118_genomic.fna,1265059,343,4.4e-06,2,TowerSketch,0.000271311,1,0.000542474,343,1263890,0,826,67,3.31487,1.39368
GCA_943331235.2_HRSG-H12-bin-94_genomic.fna,1706942,269,4.4e-06,3,CountSketch,0.000157592,1,0.000315134,269,1706673,0,0,57.2205,14.4833,4.26007
GCA_943331235.2_HRSG-H12-bin-94_genomic.fna,1706942,269,4.4e-06,3,TowerSketch,0.000157656,1,0.000315263,269,1705976,0,697,67,4.2119,1.17621
GCA_943332185.1_HRS-HS9-bin-103_genomic.fna,1203506,1521,4.4e-06,2,CountSketch,0.00126381,1,0.00252442,1521,1201985,0,0,57.2205,9.73899,4.55824
GCA_943332185.1_HRS-HS9-bin-103_genomic.fna,1203506,1521,4.4e-06,2,TowerSketch,0.00126523,1,0.00252726,1521,1200635,0,1350,67,2.87245,1.27828
GCA_943332625.1_HRS-HS9-bin-149_genomic.fna,1857982,33,4.4e-06,4,CountSketch,1.77612e-05,1,3.55218e-05,33,1857949,0,0,57.2205,21.0303,4.58434
GCA_943332625.1_HRS-HS9-bin-149_genomic.fna,1857982,33,4.4e-06,4,TowerSketch,1.77757e-05,1,3.55509e-05,33,1856429,0,1520,67,9.27273,1.96255
GCA_943333245.1_HRSG-E1-bin-8_genomic.fna,735070,735070,4.4e-06,1,CountSketch,1,1,1,735070,0,0,0,57.2205,5.31027,5.29664
GCA_943333245.1_HRSG-E1-bin-8_genomic.fna,735070,735070,4.4e-06,1,TowerSketch,1,1,1,735070,0,0,0,67,1.73696,1.73261
GCA_943333305.2_HRSG-H6-bin-46_genomic.fna,1773001,84,4.4e-06,3,CountSketch,4.73773e-05,1,9.47501e-05,84,1772917,0,0,57.2205,67.6667,5.65598
GCA_943333305.2_HRSG-H6-bin-46_genomic.fna,1773001,84,4.4e-06,3,TowerSketch,4.73882e-05,1,9.47718e-05,84,1772511,0,406,67,56.5357,4.4148
GCA_943334125.2_HRSG-E6-bin-23_genomic.fna,1447674,331,4.4e-06,3,CountSketch,0.000228643,1,0.000457181,331,1447343,0,0,57.2205,17.136,2.98716
GCA_943334125.2_HRSG-E6-bin-23_genomic.fna,1447674,331,4.4e-06,3,TowerSketch,0.000229198,1,0.000458291,331,1443834,0,3509,67,8.20544,1.13848
GCA_943334475.2_HRSG-H3-bin-66_genomic.fna,1806932,452,4.4e-06,3,CountSketch,0.000250148,1,0.00050017,452,1806480,0,0,57.2205,21.2212,4.36722
GCA_943334475.2_HRSG-H3-bin-66_genomic.fna,1806932,452,4.4e-06,3,TowerSketch,0.000250201,1,0.000500277,452,1806096,0,384,67,10.3518,1.89185
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,1827158,39,4.4e-06,4,CountSketch,2.13446e-05,1,4.26883e-05,39,1827119,0,0,57.2205,19.9487,4.46645
GCA_943334715.2_HRSG-H6-bin-64_genomic.fna,1827158,39,4.4e-06,4,TowerSketch,2.13665e-05,1,4.27321e-05,39,1825248,0,1871,67,8.66667,1.89003
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,1043827,266,4.4e-06,2,CountSketch,0.000254831,1,0.000509533,266,1043561,0,0,57.2205,10.1241,4.33258
GCA_943334795.2_HRSG-H6-bin-28_genomic.fna,1043827,266,4.4e-06,2,TowerSketch,0.000255701,1,0.000511271,266,1040013,0,3548,67,3.71429,1.53553
GCA_945860935.1_GE-03apr19-182_genomic.fna,1721635,4,4.4e-06,3,CountSketch,2.32337e-06,1,4.64673e-06,4,1721631,0,0,57.2205,14.75,4.91667
GCA_945860935.1_GE-03apr19-182_genomic.fna,1721635,4,4.4e-06,3,TowerSketch,2.32423e-06,1,4.64844e-06,4,1720998,0,633,67,3.75,1.25
GCA_945867275.1_TH-11nov19-195_genomic.fna,1696865,107,4.4e-06,3,CountSketch,6.30575e-05,1,0.000126107,107,1696758,0,0,57.2205,17.2056,4.77309
GCA_945867275.1_TH-11nov19-195_genomic.fna,1696865,107,4.4e-06,3,TowerSketch,6.30838e-05,1,0.00012616,107,1696049,0,709,67,6.90654,1.71524
GCA_945870865.1_TrH-03may19-115_genomic.fna,1301244,489,4.4e-06,2,CountSketch,0.000375794,1,0.000751306,489,1300755,0,0,57.2205,14.6135,4.40589
GCA_945870865.1_TrH-03may19-115_genomic.fna,1301244,489,4.4e-06,2,TowerSketch,0.000376007,1,0.000751732,489,1300018,0,737,67,6.8364,1.79753
GCA_945870955.1_MoE-23oct19-325_genomic.fna,1553826,35,4.4e-06,3,CountSketch,2.2525e-05,1,4.50491e-05,35,1553791,0,0,57.2205,33.7143,3.57049
GCA_945870955.1_MoE-23oct19-325_genomic.fna,1553826,35,4.4e-06,3,TowerSketch,2.25478e-05,1,4.50945e-05,35,1552225,0,1566,67,24.1143,2.30666
GCA_945872895.1_MaE-04nov19-161_genomic.fna,1212562,338,4.4e-06,2,CountSketch,0.000278749,1,0.000557342,338,1212224,0,0,57.2205,9.26627,4.61489
GCA_945872895.1_MaE-04nov19-161_genomic.fna,1212562,338,4.4e-06,2,TowerSketch,0.000279052,1,0.000557949,338,1210905,0,1319,67,2.41124,1.20118
GCA_945874295.1_AH-24oct19-10_genomic.fna,1097409,143,4.4e-06,2,CountSketch,0.000130307,1,0.00026058,143,1097266,0,0,57.2205,10.979,3.72779
GCA_945874295.1_AH-24oct19-10_genomic.fna,1097409,143,4.4e-06,2,TowerSketch,0.000130598,1,0.000261162,143,1094819,0,2447,67,4.4965,1.47419
GCA_945877175.1_ZE-13nov19-95_genomic.fna,1582364,175,4.4e-06,3,CountSketch,0.000110594,1,0.000221164,175,1582189,0,0,57.2205,18.16,2.69516
GCA_945877175.1_ZE-13nov19-95_genomic.fna,1582364,175,4.4e-06,3,TowerSketch,0.000110688,1,0.000221351,175,1580846,0,1343,67,8.37143,0.852011
GCA_945902215.1_MoH-23oct19-118_genomic.fna,1708279,362,4.4e-06,3,CountSketch,0.000211909,1,0.000423729,362,1707917,0,0,57.2205,23.0387,2.8986
GCA_945902215.1_MoH-23oct19-118_genomic.fna,1708279,362,4.4e-06,3,TowerSketch,0.000211991,1,0.000423891,362,1707261,0,656,67,12.3923,1.43399
